Sample,TimePoint,n,avPeakSt2,SEPeakSt2,avPeakSpotsSt2,SEPeakSpotsSt2,avSpotsSt23,SESpotsSt23,avWidthSt2,SEWidthSt2,avFractionSpots23,SEFractionSpots23
BACctr/,20,4.0,1.09394472770717,0.08531559317065562,1.2065718743520493,0.03150971601246196,0.9637707575089444,0.029558587786075285,165.742158497285,10.808274476653619,1.1826692215347676,0.024385159613498495
BAC_5-3/,20,1.0,0.7959061772064224,0.0,0.8773255952509695,0.0,1.0054354774243994,0.0,158.99760990645865,0.0,0.5607142857142857,0.0
BAC_5-4/,20,5.0,0.6574655735375692,0.049340238234067295,0.5323745925217469,0.10484080660626126,0.8531723585989051,0.017836837810420073,126.89765234861014,12.615529206627537,0.4384578974438017,0.08870762347915212
BAC_5-5/,20,5.0,1.1343945656270584,0.38067354463635866,0.3610564029807687,0.029673890573368448,0.8424516714244857,0.032855308993905326,133.73359479884846,9.52428180724494,0.2553838146731194,0.016572254792960147
BAC_6-2/,20,3.0,1.1401260609306487,0.17814876053677722,0.8952810786548747,0.18914728120972393,0.9409042009335322,0.03802002154840009,146.9035612583004,16.415045491417246,0.9078575155435953,0.21259597926101323
BAC_7-0/,20,4.0,0.48040691254086043,0.037622408877520996,0.389918738952085,0.029050728907774263,0.8322119419007737,0.027004724627068294,169.6885422956179,7.646100667350175,0.3673323501700053,0.01840392339378582
BAC_7-3/,20,6.0,0.8633486698276377,0.04335295929833172,0.8428820095851849,0.03898913062776879,0.888288817379823,0.010393780888263907,173.47610529297853,9.017186399486272,0.833263563218745,0.013840807473857597
BAC_7-4/,20,6.0,0.9099114775004037,0.2852705924657168,0.4511563767094589,0.04115784671179637,0.8380780803667712,0.016443835102530592,112.40876850771319,3.0187826709009293,0.4560185828078392,0.08321261112151176
BAC_7-5/,20,0.0,,,,,,,,,,
BAC_8-0/,20,1.0,1.5167185466405333,0.0,0.7663080680037281,0.0,0.9628267680600563,0.0,147.8797343926623,0.0,0.9047619047619048,0.0
BAC_8-2/,20,3.0,1.125458535770952,0.08158677116999635,1.2125001111092504,0.06183956044356245,0.8922096423952498,0.008202991474860852,172.76005271991335,13.813687847496313,1.1017661016922669,0.04788472515428149
BAC_8-3/,20,4.0,0.973665345634817,0.039881309155338905,0.9637750671241929,0.06923412681098519,0.9004214254289953,0.03896831921590558,150.19594301023068,3.2590335538460784,1.0451886862274267,0.06645018706911941
BAC_8-4/,20,0.0,,,,,,,,,,
